Oscilloscope data. 
Time step = 80,00 nS
Voltage step = 31,25 mV
Zero level = 95

N 	Min. 	Max.	T min 	T max.

0	97	97	0	0
1	97	97	0	0
2	97	97	0	0
3	97	98	0	0
4	97	98	0	0
5	97	97	0	0
6	97	98	0	0
7	97	98	0	0
8	97	98	0	0
9	97	98	0	0
10	97	98	0	0
11	97	98	0	0
12	97	98	0	0
13	98	99	0	0
14	98	99	0	0
15	98	99	0	0
16	98	99	0	0
17	98	99	0	0
18	98	99	0	0
19	98	99	0	0
20	99	99	0	0
21	99	100	0	0
22	99	100	0	0
23	99	100	0	0
24	99	99	0	0
25	99	100	0	0
26	99	100	0	0
27	99	100	0	0
28	99	100	0	0
29	99	100	0	0
30	100	100	0	0
31	100	100	0	0
32	100	101	0	0
33	100	101	0	0
34	100	101	0	0
35	100	101	0	0
36	100	101	0	0
37	101	101	0	0
38	101	101	0	0
39	101	101	0	0
40	101	101	0	0
41	101	102	0	0
42	101	102	0	0
43	101	102	0	0
44	102	102	0	0
45	102	102	0	0
46	102	102	0	0
47	102	103	0	0
48	102	103	0	0
49	102	103	0	0
50	103	103	0	0
51	102	103	0	0
52	103	103	0	0
53	103	103	0	0
54	103	104	0	0
55	103	104	0	0
56	103	104	0	0
57	103	104	0	0
58	104	105	0	0
59	104	104	0	0
60	104	105	0	0
61	104	105	0	0
62	104	105	0	0
63	104	105	0	0
64	105	105	0	0
65	105	105	0	0
66	105	106	0	0
67	105	105	0	0
68	105	106	0	0
69	106	107	0	0
70	106	106	0	0
71	106	107	0	0
72	106	107	0	0
73	106	107	0	0
74	107	107	0	0
75	107	107	0	0
76	107	107	0	0
77	107	108	0	0
78	107	108	0	0
79	107	108	0	0
80	108	109	0	0
81	108	108	0	0
82	108	109	0	0
83	108	109	0	0
84	108	109	0	0
85	109	109	0	0
86	109	109	0	0
87	109	110	0	0
88	109	110	0	0
89	110	110	0	0
90	110	110	0	0
91	110	110	0	0
92	110	110	0	0
93	110	111	0	0
94	110	111	0	0
95	110	111	0	0
96	111	111	0	0
97	111	111	0	0
